"time
References : ['TL_in']
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real","TL_in
References : []
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real"
90.32 psec,200.1 mV
90.42 psec,200.1 mV
90.52 psec,200.1 mV
90.62 psec,200.1 mV
90.72 psec,200.1 mV
90.82 psec,200.1 mV
90.92 psec,200.0 mV
91.02 psec,200.0 mV
91.12 psec,200.0 mV
91.22 psec,200.0 mV
91.32 psec,200.0 mV
91.42 psec,200.0 mV
91.52 psec,200.0 mV
91.62 psec,199.9 mV
91.72 psec,199.9 mV
91.82 psec,199.9 mV
91.92 psec,199.9 mV
92.02 psec,199.9 mV
92.12 psec,199.9 mV
92.22 psec,199.9 mV
92.32 psec,199.9 mV
92.42 psec,199.9 mV
92.52 psec,200.0 mV
92.62 psec,200.0 mV
92.72 psec,200.0 mV
92.82 psec,200.0 mV
92.92 psec,200.0 mV
93.02 psec,200.0 mV
93.12 psec,200.0 mV
93.22 psec,200.1 mV
93.32 psec,200.1 mV
93.42 psec,200.1 mV
93.52 psec,200.1 mV
93.62 psec,200.1 mV
93.72 psec,200.1 mV
93.82 psec,200.1 mV
93.92 psec,200.1 mV
94.02 psec,200.1 mV
94.12 psec,200.0 mV
94.22 psec,200.0 mV
94.32 psec,200.0 mV
94.42 psec,200.0 mV
94.52 psec,200.0 mV
94.62 psec,200.0 mV
94.72 psec,200.0 mV
94.82 psec,199.9 mV
94.92 psec,199.9 mV
95.02 psec,199.9 mV
95.12 psec,199.9 mV
95.22 psec,199.9 mV
95.32 psec,199.9 mV
95.42 psec,199.9 mV
95.52 psec,199.9 mV
95.62 psec,200.0 mV
95.72 psec,200.0 mV
95.82 psec,200.0 mV
