"time
References : ['vcap512']
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real","vcap512
References : []
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real"
77.82 psec,0.0000 V
77.92 psec,0.0000 V
78.02 psec,0.0000 V
78.12 psec,0.0000 V
78.22 psec,0.0000 V
78.32 psec,0.0000 V
78.42 psec,0.0000 V
78.52 psec,0.0000 V
78.62 psec,0.0000 V
78.72 psec,0.0000 V
78.82 psec,0.0000 V
78.92 psec,0.0000 V
79.02 psec,0.0000 V
79.12 psec,0.0000 V
79.22 psec,0.0000 V
79.32 psec,0.0000 V
79.42 psec,0.0000 V
79.52 psec,0.0000 V
79.62 psec,0.0000 V
79.72 psec,0.0000 V
79.82 psec,0.0000 V
79.92 psec,0.0000 V
80.02 psec,0.0000 V
80.12 psec,0.0000 V
80.22 psec,0.0000 V
80.32 psec,0.0000 V
80.42 psec,0.0000 V
80.52 psec,0.0000 V
80.62 psec,0.0000 V
80.72 psec,0.0000 V
80.82 psec,0.0000 V
80.92 psec,0.0000 V
81.02 psec,0.0000 V
81.12 psec,0.0000 V
81.22 psec,0.0000 V
81.32 psec,0.0000 V
81.42 psec,0.0000 V
81.52 psec,0.0000 V
81.62 psec,0.0000 V
81.72 psec,0.0000 V
81.82 psec,0.0000 V
81.92 psec,0.0000 V
82.02 psec,0.0000 V
82.12 psec,0.0000 V
82.22 psec,0.0000 V
82.32 psec,0.0000 V
82.42 psec,0.0000 V
82.52 psec,0.0000 V
82.62 psec,0.0000 V
82.72 psec,0.0000 V
82.82 psec,0.0000 V
82.92 psec,0.0000 V
83.02 psec,0.0000 V
83.12 psec,0.0000 V
83.22 psec,0.0000 V
83.32 psec,0.0000 V
83.42 psec,0.0000 V
83.52 psec,0.0000 V
83.62 psec,0.0000 V
83.72 psec,0.0000 V
83.82 psec,0.0000 V
83.92 psec,0.0000 V
84.02 psec,0.0000 V
84.12 psec,0.0000 V
84.22 psec,0.0000 V
84.32 psec,0.0000 V
84.42 psec,0.0000 V
84.52 psec,0.0000 V
84.62 psec,0.0000 V
84.72 psec,0.0000 V
84.82 psec,0.0000 V
84.92 psec,0.0000 V
85.02 psec,0.0000 V
85.12 psec,0.0000 V
85.22 psec,0.0000 V
85.32 psec,0.0000 V
85.42 psec,0.0000 V
85.52 psec,0.0000 V
85.62 psec,0.0000 V
85.72 psec,0.0000 V
85.82 psec,0.0000 V
85.92 psec,0.0000 V
86.02 psec,0.0000 V
86.12 psec,0.0000 V
86.22 psec,0.0000 V
86.32 psec,0.0000 V
86.42 psec,0.0000 V
86.52 psec,0.0000 V
86.62 psec,0.0000 V
86.72 psec,0.0000 V
86.82 psec,0.0000 V
86.92 psec,0.0000 V
87.02 psec,0.0000 V
87.12 psec,0.0000 V
87.22 psec,0.0000 V
87.32 psec,0.0000 V
87.42 psec,0.0000 V
87.52 psec,0.0000 V
87.62 psec,0.0000 V
87.72 psec,0.0000 V
87.82 psec,0.0000 V
87.92 psec,0.0000 V
88.02 psec,0.0000 V
88.12 psec,0.0000 V
88.22 psec,0.0000 V
88.32 psec,0.0000 V
88.42 psec,0.0000 V
88.52 psec,0.0000 V
88.62 psec,0.0000 V
88.72 psec,0.0000 V
88.82 psec,0.0000 V
88.92 psec,0.0000 V
89.02 psec,0.0000 V
89.12 psec,0.0000 V
89.22 psec,0.0000 V
89.32 psec,0.0000 V
89.42 psec,0.0000 V
89.52 psec,0.0000 V
89.62 psec,0.0000 V
89.72 psec,0.0000 V
89.82 psec,0.0000 V
89.92 psec,0.0000 V
90.02 psec,0.0000 V
90.12 psec,0.0000 V
90.22 psec,0.0000 V
90.32 psec,0.0000 V
90.42 psec,0.0000 V
90.52 psec,0.0000 V
90.62 psec,0.0000 V
90.72 psec,0.0000 V
90.82 psec,0.0000 V
90.92 psec,0.0000 V
91.02 psec,0.0000 V
91.12 psec,0.0000 V
91.22 psec,0.0000 V
91.32 psec,0.0000 V
91.42 psec,0.0000 V
91.52 psec,0.0000 V
91.62 psec,0.0000 V
91.72 psec,0.0000 V
91.82 psec,0.0000 V
91.92 psec,0.0000 V
92.02 psec,0.0000 V
92.12 psec,0.0000 V
92.22 psec,0.0000 V
92.32 psec,0.0000 V
92.42 psec,0.0000 V
92.52 psec,0.0000 V
92.62 psec,0.0000 V
92.72 psec,0.0000 V
92.82 psec,0.0000 V
92.92 psec,0.0000 V
93.02 psec,0.0000 V
93.12 psec,0.0000 V
93.22 psec,0.0000 V
93.32 psec,0.0000 V
93.42 psec,0.0000 V
93.52 psec,0.0000 V
93.62 psec,0.0000 V
93.72 psec,0.0000 V
93.82 psec,0.0000 V
93.92 psec,0.0000 V
94.02 psec,0.0000 V
94.12 psec,0.0000 V
94.22 psec,0.0000 V
94.32 psec,0.0000 V
94.42 psec,0.0000 V
94.52 psec,0.0000 V
94.62 psec,0.0000 V
94.72 psec,0.0000 V
94.82 psec,0.0000 V
94.92 psec,0.0000 V
95.02 psec,0.0000 V
95.12 psec,0.0000 V
95.22 psec,0.0000 V
95.32 psec,0.0000 V
95.42 psec,0.0000 V
95.52 psec,0.0000 V
95.62 psec,0.0000 V
95.72 psec,0.0000 V
95.82 psec,0.0000 V
