"time
References : ['vcap4']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","vcap4
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
798.6 fsec,2.835 uV
799.6 fsec,2.862 uV
800.6 fsec,2.890 uV
801.6 fsec,2.917 uV
802.6 fsec,2.945 uV
803.6 fsec,2.973 uV
804.6 fsec,3.001 uV
805.6 fsec,3.030 uV
806.6 fsec,3.059 uV
807.6 fsec,3.088 uV
808.6 fsec,3.117 uV
809.6 fsec,3.146 uV
810.6 fsec,3.176 uV
811.6 fsec,3.206 uV
812.6 fsec,3.236 uV
813.6 fsec,3.266 uV
814.6 fsec,3.297 uV
815.6 fsec,3.328 uV
816.6 fsec,3.359 uV
817.6 fsec,3.390 uV
818.6 fsec,3.422 uV
819.6 fsec,3.454 uV
820.6 fsec,3.486 uV
821.6 fsec,3.519 uV
822.6 fsec,3.551 uV
823.6 fsec,3.584 uV
824.6 fsec,3.617 uV
825.6 fsec,3.651 uV
826.6 fsec,3.684 uV
827.6 fsec,3.718 uV
828.6 fsec,3.753 uV
829.6 fsec,3.787 uV
830.6 fsec,3.822 uV
831.6 fsec,3.857 uV
832.6 fsec,3.892 uV
833.6 fsec,3.928 uV
834.6 fsec,3.964 uV
835.6 fsec,4.000 uV
836.6 fsec,4.037 uV
837.6 fsec,4.073 uV
838.6 fsec,4.110 uV
839.6 fsec,4.148 uV
840.6 fsec,4.185 uV
841.6 fsec,4.223 uV
842.6 fsec,4.261 uV
843.6 fsec,4.300 uV
844.6 fsec,4.339 uV
845.6 fsec,4.378 uV
846.6 fsec,4.417 uV
847.6 fsec,4.457 uV
848.6 fsec,4.497 uV
849.6 fsec,4.537 uV
850.6 fsec,4.578 uV
851.6 fsec,4.619 uV
852.6 fsec,4.660 uV
853.6 fsec,4.702 uV
854.6 fsec,4.744 uV
855.6 fsec,4.786 uV
856.6 fsec,4.828 uV
857.6 fsec,4.871 uV
858.6 fsec,4.915 uV
859.6 fsec,4.958 uV
860.6 fsec,5.002 uV
861.6 fsec,5.046 uV
862.6 fsec,5.091 uV
863.6 fsec,5.136 uV
864.6 fsec,5.181 uV
865.6 fsec,5.226 uV
866.6 fsec,5.272 uV
867.6 fsec,5.318 uV
868.6 fsec,5.365 uV
869.6 fsec,5.412 uV
870.6 fsec,5.459 uV
871.6 fsec,5.507 uV
872.6 fsec,5.555 uV
873.6 fsec,5.603 uV
874.6 fsec,5.652 uV
875.6 fsec,5.701 uV
876.6 fsec,5.750 uV
877.6 fsec,5.800 uV
878.6 fsec,5.850 uV
879.6 fsec,5.901 uV
880.6 fsec,5.952 uV
881.6 fsec,6.003 uV
882.6 fsec,6.055 uV
883.6 fsec,6.107 uV
884.6 fsec,6.159 uV
885.6 fsec,6.212 uV
886.6 fsec,6.265 uV
887.6 fsec,6.319 uV
888.6 fsec,6.373 uV
889.6 fsec,6.427 uV
890.6 fsec,6.482 uV
891.6 fsec,6.537 uV
