"time
References : ['I_cap2.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_cap2.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
684.6 fsec,548.7 uA
685.6 fsec,550.5 uA
686.6 fsec,552.4 uA
687.6 fsec,554.3 uA
688.6 fsec,556.1 uA
689.6 fsec,558.0 uA
690.6 fsec,559.9 uA
691.6 fsec,561.8 uA
692.6 fsec,563.7 uA
693.6 fsec,565.5 uA
694.6 fsec,567.4 uA
695.6 fsec,569.3 uA
696.6 fsec,571.2 uA
697.6 fsec,573.1 uA
698.6 fsec,575.0 uA
699.6 fsec,576.9 uA
700.6 fsec,578.8 uA
701.6 fsec,580.7 uA
702.6 fsec,582.6 uA
703.6 fsec,584.5 uA
704.6 fsec,586.4 uA
705.6 fsec,588.4 uA
706.6 fsec,590.3 uA
707.6 fsec,592.2 uA
708.6 fsec,594.1 uA
709.6 fsec,596.1 uA
710.6 fsec,598.0 uA
711.6 fsec,599.9 uA
712.6 fsec,601.8 uA
713.6 fsec,603.8 uA
714.6 fsec,605.7 uA
715.6 fsec,607.7 uA
716.6 fsec,609.6 uA
717.6 fsec,611.6 uA
718.6 fsec,613.5 uA
719.6 fsec,615.5 uA
720.6 fsec,617.4 uA
721.6 fsec,619.4 uA
722.6 fsec,621.3 uA
723.6 fsec,623.3 uA
724.6 fsec,625.3 uA
725.6 fsec,627.2 uA
726.6 fsec,629.2 uA
727.6 fsec,631.2 uA
728.6 fsec,633.1 uA
729.6 fsec,635.1 uA
730.6 fsec,637.1 uA
731.6 fsec,639.1 uA
732.6 fsec,641.1 uA
733.6 fsec,643.1 uA
734.6 fsec,645.0 uA
735.6 fsec,647.0 uA
736.6 fsec,649.0 uA
737.6 fsec,651.0 uA
738.6 fsec,653.0 uA
739.6 fsec,655.0 uA
740.6 fsec,657.0 uA
741.6 fsec,659.0 uA
742.6 fsec,661.1 uA
743.6 fsec,663.1 uA
744.6 fsec,665.1 uA
745.6 fsec,667.1 uA
746.6 fsec,669.1 uA
747.6 fsec,671.1 uA
748.6 fsec,673.2 uA
749.6 fsec,675.2 uA
750.6 fsec,677.2 uA
751.6 fsec,679.2 uA
752.6 fsec,681.3 uA
753.6 fsec,683.3 uA
754.6 fsec,685.3 uA
755.6 fsec,687.4 uA
756.6 fsec,689.4 uA
757.6 fsec,691.5 uA
758.6 fsec,693.5 uA
759.6 fsec,695.6 uA
760.6 fsec,697.6 uA
761.6 fsec,699.7 uA
762.6 fsec,701.7 uA
763.6 fsec,703.8 uA
764.6 fsec,705.9 uA
765.6 fsec,707.9 uA
766.6 fsec,710.0 uA
767.6 fsec,712.0 uA
768.6 fsec,714.1 uA
769.6 fsec,716.2 uA
770.6 fsec,718.3 uA
771.6 fsec,720.3 uA
772.6 fsec,722.4 uA
773.6 fsec,724.5 uA
774.6 fsec,726.6 uA
775.6 fsec,728.7 uA
776.6 fsec,730.8 uA
777.6 fsec,732.8 uA
778.6 fsec,734.9 uA
779.6 fsec,737.0 uA
780.6 fsec,739.1 uA
781.6 fsec,741.2 uA
782.6 fsec,743.3 uA
783.6 fsec,745.4 uA
784.6 fsec,747.5 uA
785.6 fsec,749.6 uA
786.6 fsec,751.7 uA
787.6 fsec,753.9 uA
788.6 fsec,756.0 uA
789.6 fsec,758.1 uA
790.6 fsec,760.2 uA
791.6 fsec,762.3 uA
792.6 fsec,764.4 uA
793.6 fsec,766.6 uA
794.6 fsec,768.7 uA
795.6 fsec,770.8 uA
796.6 fsec,773.0 uA
797.6 fsec,775.1 uA
798.6 fsec,777.2 uA
799.6 fsec,779.4 uA
800.6 fsec,781.5 uA
801.6 fsec,783.6 uA
802.6 fsec,785.8 uA
803.6 fsec,787.9 uA
804.6 fsec,790.1 uA
805.6 fsec,792.2 uA
806.6 fsec,794.4 uA
807.6 fsec,796.5 uA
808.6 fsec,798.7 uA
809.6 fsec,800.8 uA
810.6 fsec,803.0 uA
811.6 fsec,805.2 uA
812.6 fsec,807.3 uA
813.6 fsec,809.5 uA
814.6 fsec,811.6 uA
815.6 fsec,813.8 uA
816.6 fsec,816.0 uA
817.6 fsec,818.2 uA
818.6 fsec,820.3 uA
819.6 fsec,822.5 uA
820.6 fsec,824.7 uA
821.6 fsec,826.9 uA
822.6 fsec,829.0 uA
823.6 fsec,831.2 uA
824.6 fsec,833.4 uA
825.6 fsec,835.6 uA
826.6 fsec,837.8 uA
827.6 fsec,840.0 uA
828.6 fsec,842.2 uA
829.6 fsec,844.4 uA
830.6 fsec,846.6 uA
831.6 fsec,848.8 uA
832.6 fsec,851.0 uA
833.6 fsec,853.2 uA
834.6 fsec,855.4 uA
835.6 fsec,857.6 uA
836.6 fsec,859.8 uA
837.6 fsec,862.0 uA
838.6 fsec,864.2 uA
839.6 fsec,866.4 uA
840.6 fsec,868.6 uA
841.6 fsec,870.9 uA
842.6 fsec,873.1 uA
843.6 fsec,875.3 uA
844.6 fsec,877.5 uA
845.6 fsec,879.7 uA
846.6 fsec,882.0 uA
847.6 fsec,884.2 uA
848.6 fsec,886.4 uA
849.6 fsec,888.7 uA
850.6 fsec,890.9 uA
851.6 fsec,893.1 uA
852.6 fsec,895.4 uA
853.6 fsec,897.6 uA
854.6 fsec,899.8 uA
855.6 fsec,902.1 uA
856.6 fsec,904.3 uA
857.6 fsec,906.6 uA
858.6 fsec,908.8 uA
859.6 fsec,911.1 uA
860.6 fsec,913.3 uA
861.6 fsec,915.6 uA
862.6 fsec,917.8 uA
863.6 fsec,920.1 uA
864.6 fsec,922.3 uA
865.6 fsec,924.6 uA
866.6 fsec,926.8 uA
867.6 fsec,929.1 uA
868.6 fsec,931.4 uA
869.6 fsec,933.6 uA
870.6 fsec,935.9 uA
