x,y
4.2943e+06,-84.865
4.2993e+06,-89.369
4.3043e+06,-93.874
4.3093e+06,-98.378
4.3143e+06,-102.88
4.3193e+06,-107.39
4.3243e+06,-111.89
4.3293e+06,-116.4
4.3343e+06,-120.9
4.3393e+06,-125.41
4.3443e+06,-129.91
4.3493e+06,-134.41
4.3544e+06,-138.92
4.3594e+06,-143.42
4.3644e+06,-147.93
4.3694e+06,-152.43
4.3744e+06,-156.94
4.3794e+06,-161.44
4.3844e+06,-165.95
4.3894e+06,-170.45
4.3944e+06,-174.95
4.3994e+06,-179.46
4.4044e+06,-3.9639
4.4094e+06,-8.4685
4.4144e+06,-12.973
4.4194e+06,-17.477
4.4244e+06,-21.982
4.4294e+06,-26.486
4.4344e+06,-30.991
4.4394e+06,-35.495
4.4444e+06,-40
4.4494e+06,-44.505
4.4545e+06,-49.009
4.4595e+06,-53.514
4.4645e+06,-58.018
4.4695e+06,-62.523
4.4745e+06,-67.027
4.4795e+06,-71.532
4.4845e+06,-76.036
4.4895e+06,-80.541
4.4945e+06,-85.045
4.4995e+06,-89.55
4.5045e+06,-94.054
4.5095e+06,-98.559
4.5145e+06,-103.06
4.5195e+06,-107.57
4.5245e+06,-112.07
4.5295e+06,-116.58
4.5345e+06,-121.08
4.5395e+06,-125.59
4.5445e+06,-130.09
4.5495e+06,-134.59
4.5546e+06,-139.1
4.5596e+06,-143.6
4.5646e+06,-148.11
4.5696e+06,-152.61
4.5746e+06,-157.12
4.5796e+06,-161.62
4.5846e+06,-166.13
4.5896e+06,-170.63
4.5946e+06,-175.14
4.5996e+06,-179.64
4.6046e+06,-4.1441
4.6096e+06,-8.6486
4.6146e+06,-13.153
4.6196e+06,-17.658
4.6246e+06,-22.162
4.6296e+06,-26.667
4.6346e+06,-31.171
4.6396e+06,-35.676
4.6446e+06,-40.18
4.6496e+06,-44.685
4.6547e+06,-49.189
4.6597e+06,-53.694
4.6647e+06,-58.198
4.6697e+06,-62.703
4.6747e+06,-67.207
4.6797e+06,-71.712
4.6847e+06,-76.216
4.6897e+06,-80.721
4.6947e+06,-85.225
4.6997e+06,-89.73
4.7047e+06,-94.234
4.7097e+06,-98.739
4.7147e+06,-103.24
4.7197e+06,-107.75
4.7247e+06,-112.25
4.7297e+06,-116.76
4.7347e+06,-121.26
4.7397e+06,-125.77
4.7447e+06,-130.27
4.7497e+06,-134.77
4.7548e+06,-139.28
4.7598e+06,-143.78
4.7648e+06,-148.29
4.7698e+06,-152.79
4.7748e+06,-157.3
4.7798e+06,-161.8
4.7848e+06,-166.31
4.7898e+06,-170.81
4.7948e+06,-175.32
4.7998e+06,-179.82
4.8048e+06,-4.3243
4.8098e+06,-8.8288
4.8148e+06,-13.333
4.8198e+06,-17.838
4.8248e+06,-22.342
4.8298e+06,-26.847
4.8348e+06,-31.351
4.8398e+06,-35.856
4.8448e+06,-40.36
4.8498e+06,-44.865
4.8549e+06,-49.369
4.8599e+06,-53.874
4.8649e+06,-58.378
4.8699e+06,-62.883
4.8749e+06,-67.387
4.8799e+06,-71.892
4.8849e+06,-76.396
4.8899e+06,-80.901
4.8949e+06,-85.405
4.8999e+06,-89.91
4.9049e+06,-94.414
4.9099e+06,-98.919
4.9149e+06,-103.42
4.9199e+06,-107.93
4.9249e+06,-112.43
4.9299e+06,-116.94
4.9349e+06,-121.44
4.9399e+06,-125.95
4.9449e+06,-130.45
4.9499e+06,-134.95
4.955e+06,-139.46
4.96e+06,-143.96
4.965e+06,-148.47
4.97e+06,-152.97
4.975e+06,-157.48
4.98e+06,-161.98
4.985e+06,-166.49
4.99e+06,-170.99
4.995e+06,-175.5
5e+06,180
